,ID,Name,Age,Gender,City,Marks,Email,Join_Date
0,1,Ram,21.0,M,Kathmandu,85.0,ram@gmail.com,2025-01-10
1,2,Sita,22.0,F,Pokhara,90.0,sita@gmail.com,2025-01-12
2,3,Hari,20.0,M,Kathmandu,78.0,hari@gmail.com,2025-01-15
3,4,Gita,20.0,F,Lalitpur,88.0,gita@gmail.com,2025-01-18
4,6,Anil,19.0,M,Butwal,72.0,anilgmail.com,2025-02-01
5,7,Suman,23.0,F,Pokhara,85.0,suman@gmail.com,2025-02-05
6,8,Prabin,22.0,M,Butwal,95.0,prabin@gmail.com,2025-02-10
7,9,Nisha,21.0,F,Kathmandu,82.0,nisha@gmail.com,2025-02-12
8,10,Bikash,24.0,M,Kathmandu,105.0,bikash@gmail.com,2025-02-15
9,11,Asha,21.0,F,Pokhara,89.0,asha@gmail.com,2025-02-18
10,12,Ramesh,20.0,M,Lalitpur,76.0,ramesh@gmail.com,2025-02-20
11,13,Sita,22.0,F,Pokhara,90.0,sita@gmail.com,2025-01-12
